EXPORT FROM MATLAB: GPS_orbit_est.m 

 * Coordinates ORS (xF, yF) || Coordinates ITRF (x, y, z) || Coordinates phi, lambda, h ell
 22376369.325179  -14147753.340555        0.000000 || 15162119.399322  20162864.012560  -8026822.465566 ||       -0.308515         0.926028  20097605.032270 
 22438261.152839  -14048938.680362        0.000000 || 15133133.013888  20148764.123433  -8115653.460432 ||       -0.312045         0.926611  20097411.089662 
 22499719.137231  -13949852.384271        0.000000 || 15103864.408374  20134498.562485  -8204327.539048 ||       -0.315574         0.927200  20097219.217780 
 22560742.078427  -13850496.360899        0.000000 || 15074313.278966  20120068.762436  -8292842.982659 ||       -0.319100         0.927796  20097029.417820 
 22621328.784933  -13750872.524228        0.000000 || 15044479.332320  20105476.159792  -8381198.075516 ||       -0.322624         0.928398  20096841.690913 
 22681478.073708  -13650982.793575        0.000000 || 15014362.285590  20090722.194775  -8469391.104913 ||       -0.326146         0.929007  20096656.038130 
 22741188.770190  -13550829.093548        0.000000 || 14983961.866443  20075808.311260  -8557420.361215 ||       -0.329665         0.929623  20096472.460474 
 22800459.708324  -13450413.354011        0.000000 || 14953277.813078  20060735.956704  -8645284.137898 ||       -0.333182         0.930246  20096290.958887 
 22859289.730581  -13349737.510045        0.000000 || 14922309.874254  20045506.582082  -8732980.731582 ||       -0.336697         0.930875  20096111.534247 
 22917677.687983  -13248803.501911        0.000000 || 14891057.809298  20030121.641821  -8820508.442063 ||       -0.340209         0.931511  20095934.187370 
 22975622.440129  -13147613.275011        0.000000 || 14859521.388133  20014582.593728  -8907865.572349 ||       -0.343718         0.932155  20095758.919008 
 23033122.855218  -13046168.779851        0.000000 || 14827700.391291  19998890.898929  -8995050.428697 ||       -0.347225         0.932805  20095585.729849 
 23090177.810071  -12944471.972001        0.000000 || 14795594.609931  19983048.021795  -9082061.320640 ||       -0.350730         0.933463  20095414.620521 
 23146786.190155  -12842524.812059        0.000000 || 14763203.845859  19967055.429880  -9168896.561027 ||       -0.354232         0.934128  20095245.591587 
 23202946.889605  -12740329.265608        0.000000 || 14730527.911542  19950914.593850  -9255554.466055 ||       -0.357731         0.934800  20095078.643551 
 23258658.811250  -12637887.303183        0.000000 || 14697566.630128  19934626.987416  -9342033.355303 ||       -0.361228         0.935480  20094913.776853 
 23313920.866631  -12535200.900227        0.000000 || 14664319.835458  19918194.087266  -9428331.551765 ||       -0.364722         0.936168  20094750.991871 
 23368731.976029  -12432272.037057        0.000000 || 14630787.372082  19901617.372997  -9514447.381885 ||       -0.368213         0.936863  20094590.288922 
 23423091.068483  -12329102.698820        0.000000 || 14596969.095276  19884898.327046  -9600379.175590 ||       -0.371702         0.937567  20094431.668262 
 23476997.081814  -12225694.875458        0.000000 || 14562864.871058  19868038.434624  -9686125.266324 ||       -0.375187         0.938278  20094275.130086 
 23530448.962646  -12122050.561666        0.000000 || 14528474.576195  19851039.183644  -9771683.991082 ||       -0.378670         0.938997  20094120.674526 
 23583445.666429  -12018171.756855        0.000000 || 14493798.098226  19833902.064655  -9857053.690440 ||       -0.382150         0.939724  20093968.301658 
 23635986.157461  -11914060.465110        0.000000 || 14458835.335467  19816628.570773  -9942232.708595 ||       -0.385627         0.940459  20093818.011492 
 23688069.408907  -11809718.695152        0.000000 || 14423586.197028  19799220.197611  -10027219.393392 ||       -0.389101         0.941203  20093669.803981 
 23739694.402824  -11705148.460299        0.000000 || 14388050.602827  19781678.443212  -10112012.096361 ||       -0.392572         0.941955  20093523.679018 
 23790860.130178  -11600351.778425        0.000000 || 14352228.483594  19764004.807979  -10196609.172749 ||       -0.396040         0.942715  20093379.636436 
 23841565.590869  -11495330.671921        0.000000 || 14316119.780893  19746200.794605  -10281008.981553 ||       -0.399505         0.943484  20093237.676007 
 23891809.793747  -11390087.167654        0.000000 || 14279724.447122  19728267.908005  -10365209.885554 ||       -0.402967         0.944262  20093097.797445 
 23941591.756638  -11284623.296927        0.000000 || 14243042.445532  19710207.655248  -10449210.251348 ||       -0.406425         0.945048  20092960.000405 
 23990910.506361  -11178941.095441        0.000000 || 14206073.750232  19692021.545484  -10533008.449380 ||       -0.409881         0.945844  20092824.284484 
 24039765.078747  -11073042.603253        0.000000 || 14168818.346201  19673711.089879  -10616602.853980 ||       -0.413333         0.946648  20092690.649218 
 24088154.518663  -10966929.864735        0.000000 || 14131276.229293  19655277.801542  -10699991.843390 ||       -0.416782         0.947461  20092559.094086 
 24136077.880028  -10860604.928534        0.000000 || 14093447.406251  19636723.195457  -10783173.799801 ||       -0.420228         0.948284  20092429.618510 
 24183534.225836  -10754069.847533        0.000000 || 14055331.894710  19618048.788415  -10866147.109382 ||       -0.423670         0.949116  20092302.221854 
 24230522.628174  -10647326.678810        0.000000 || 14016929.723208  19599256.098940  -10948910.162318 ||       -0.427109         0.949957  20092176.903422 
 24277042.168238  -10540377.483594        0.000000 || 13978240.931192  19580346.647224  -11031461.352837 ||       -0.430544         0.950808  20092053.662463 
 24323091.936358  -10433224.327229        0.000000 || 13939265.569022  19561321.955053  -11113799.079246 ||       -0.433976         0.951668  20091932.498169 
 24368671.032014  -10325869.279129        0.000000 || 13900003.697981  19542183.545741  -11195921.743959 ||       -0.437404         0.952539  20091813.409674 
 24413778.563853  -10218314.412742        0.000000 || 13860455.390280  19522932.944056  -11277827.753535 ||       -0.440829         0.953419  20091696.396057 
 24458413.649710  -10110561.805502        0.000000 || 13820620.729060  19503571.676155  -11359515.518708 ||       -0.444250         0.954309  20091581.456339 
 24502575.416627  -10002613.538793        0.000000 || 13780499.808399  19484101.269509  -11440983.454414 ||       -0.447668         0.955209  20091468.589487 
 24546263.000867  -9894471.697908        0.000000 || 13740092.733316  19464523.252836  -11522229.979831 ||       -0.451081         0.956119  20091357.794411 
 24589475.547938  -9786138.372004        0.000000 || 13699399.619777  19444839.156030  -11603253.518407 ||       -0.454491         0.957039  20091249.069966 
 24632212.212605  -9677615.654062        0.000000 || 13658420.594692  19425050.510091  -11684052.497890 ||       -0.457898         0.957970  20091142.414951 
 24674472.158910  -9568905.640848        0.000000 || 13617155.795925  19405158.847054  -11764625.350364 ||       -0.461300         0.958911  20091037.828112 
 24716254.560192  -9460010.432868        0.000000 || 13575605.372290  19385165.699919  -11844970.512277 ||       -0.464698         0.959863  20090935.308140 
 24757558.599098  -9350932.134329        0.000000 || 13533769.483558  19365072.602585  -11925086.424473 ||       -0.468093         0.960826  20090834.853670 
 24798383.467607  -9241672.853094        0.000000 || 13491648.300456  19344881.089770  -12004971.532227 ||       -0.471483         0.961799  20090736.463284 
 24838728.367041  -9132234.700644        0.000000 || 13449242.004665  19324592.696951  -12084624.285273 ||       -0.474870         0.962783  20090640.135512 
 24878592.508086  -9022619.792033        0.000000 || 13406550.788828  19304208.960288  -12164043.137834 ||       -0.478252         0.963779  20090545.868828 
 24917975.110805  -8912830.245847        0.000000 || 13363574.856542  19283731.416555  -12243226.548657 ||       -0.481630         0.964786  20090453.661654 
 24956875.404656  -8802868.184162        0.000000 || 13320314.422360  19263161.603069  -12322172.981043 ||       -0.485004         0.965804  20090363.512360 
 24995292.628508  -8692735.732504        0.000000 || 13276769.711794  19242501.057621  -12400880.902877 ||       -0.488374         0.966833  20090275.419263 
 25033226.030657  -8582435.019801        0.000000 || 13232940.961307  19221751.318405  -12479348.786658 ||       -0.491739         0.967874  20090189.380626 
 25070674.868842  -8471968.178347        0.000000 || 13188828.418314  19200913.923946  -12557575.109533 ||       -0.495100         0.968926  20090105.394663 
 25107638.410257  -8361337.343755        0.000000 || 13144432.341183  19179990.413034  -12635558.353325 ||       -0.498457         0.969991  20090023.459535 
 25144115.931572  -8250544.654919        0.000000 || 13099752.999225  19158982.324648  -12713297.004565 ||       -0.501809         0.971067  20089943.573352 
 25180106.718943  -8139592.253966        0.000000 || 13054790.672695  19137891.197889  -12790789.554522 ||       -0.505157         0.972155  20089865.734171 
 25215610.068031  -8028482.286218        0.000000 || 13009545.652789  19116718.571911  -12868034.499233 ||       -0.508500         0.973256  20089789.940003 
 25250625.284011  -7917216.900146        0.000000 || 12964018.241635  19095465.985845  -12945030.339536 ||       -0.511838         0.974368  20089716.188803 
 25285151.681595  -7805798.247330        0.000000 || 12918208.752294  19074134.978735  -13021775.581096 ||       -0.515172         0.975494  20089644.478481 
 25319188.585038  -7694228.482414        0.000000 || 12872117.508750  19052727.089465  -13098268.734438 ||       -0.518501         0.976631  20089574.806894 
 25352735.328155  -7582509.763065        0.000000 || 12825744.845907  19031243.856688  -13174508.314978 ||       -0.521826         0.977781  20089507.171850 
 25385791.254339  -7470644.249928        0.000000 || 12779091.109579  19009686.818756  -13250492.843051 ||       -0.525145         0.978944  20089441.571110 
 25418355.716567  -7358634.106584        0.000000 || 12732156.656488  18988057.513650  -13326220.843939 ||       -0.528460         0.980120  20089378.002385 
 25450428.077419  -7246481.499509        0.000000 || 12684941.854256  18966357.478913  -13401690.847907 ||       -0.531770         0.981309  20089316.463336 
 25482007.709092  -7134188.598025        0.000000 || 12637447.081392  18944588.251572  -13476901.390225 ||       -0.535074         0.982512  20089256.951579 
 25513093.993408  -7021757.574263        0.000000 || 12589672.727290  18922751.368076  -13551851.011205 ||       -0.538374         0.983727  20089199.464679 
 25543686.321830  -6909190.603116        0.000000 || 12541619.192217  18900848.364222  -13626538.256225 ||       -0.541669         0.984956  20089144.000156 
 25573784.095477  -6796489.862198        0.000000 || 12493286.887307  18878880.775084  -13700961.675760 ||       -0.544958         0.986198  20089090.555481 
 25603386.725131  -6683657.531799        0.000000 || 12444676.234546  18856850.134947  -13775119.825413 ||       -0.548242         0.987455  20089039.128081 
 25632493.631255  -6570695.794840        0.000000 || 12395787.666768  18834757.977231  -13849011.265942 ||       -0.551521         0.988724  20088989.715334 
 25661104.244000  -6457606.836833        0.000000 || 12346621.627639  18812605.834429  -13922634.563288 ||       -0.554794         0.990008  20088942.314572 
 25689218.003220  -6344392.845836        0.000000 || 12297178.571650  18790395.238028  -13995988.288610 ||       -0.558062         0.991306  20088896.923083 
